Name,Country,Status,Formed In,Genre,Theme,Active,Spotify Popularity,Total Followers On Spotify
Oniricous,Spain,Active,2011,Death Metal,Lovecraftian,2005-2011 (as Ghül)| 2011-present,0,0
Only Blood,Spain,Split-up,2001,Death Metal,Unknown,2001-?,0,0
Only Zuul,United States,Active,2005,Death Metal,Possession| Inter-dimensional Manifestation| Megalomania| Death,2005-present,0,0
Onsetcold,United Kingdom,Active,2003,Death Metal,The Onset of the End,2003-2010| 2013-present,0,0
Open Casket,Ireland,Active,2006,Death Metal,Death| Apocalypse| Gore| Anti-Christian| Zombies,2006-2009,0,0
Open Casket,Portugal,Split-up,1989,Death Metal,Unknown,1989-1992,0,0
Open Face Surgery,Indonesia,Active,2011,Death Metal,Tyrannical authority| Violence| Reborn| War| Killing fellow,2011-present,0,0
Open Surgery,Sweden,Active,n,Death Metal,Unknown,,0,0
Operation Counterstrike,Germany,Changed name,1997,Death Metal,Humour| Meat and Vegetables,1997-2010| 2010-present (as BloodVorteX),0,0
Ophanims,Chile,Active,1994,Death Metal,Death| Madness| Doom| Religion,1994-present,0,0
Opium,Portugal,Split-up,1996,Death Metal,Unknown,1996-?,0,0
Opium Colin,Brazil,Active,2007,Death Metal,Unknown,2007-present,0,0
Oppressor,Germany,Active,n,Death Metal,Unknown,,12,4188
Oppressor,Poland,Changed name,1992,Death Metal,Anti-christianity| Death| Blasphemy| Agony,1992-1998| 1998-present (as Baphomet's Throne),12,4188
Oraculum,Chile,Active,2011,Death Metal,Witchcraft| Darkness,2011-present,0,0
Orb of Torture,Belgium,Unknown,2002,Death Metal,Unknown,2002-?,0,0
Orchards of Odenwrath,Sweden,Changed name,n,Death Metal,Warfare| Mythology| Nature,?-2006| 2006-present (as Odenwrath),0,0
Ordained Genocide,United States,Split-up,2005,Death Metal,Religion| Political| Abstract| Broken Minds,2005-?,0,0
Ordeal,Belgium,Split-up,1991,Death Metal,Psychological and Theosophical Subjects,1991-?,0,0
Ordem Maligna,Brazil,On hold,1997,Death Metal,Post Apocalyptic/Machines Era| Satanic Hate,1997-?,0,0
Ordnance,Australia,Active,2011,Death Metal,Horror| Sci-fi| Occult| Extinction,2011-present,0,0
Ordo Caper,Costa Rica,Active,2010,Death Metal,Death| Chaos| Alchemy| Witchery,2010-present,0,0
Ordo Inferus,International,Active,2012,Death Metal,Unknown,2012-present,0,0
Ordoth,Indonesia,Active,1995,Death Metal,Unknown,1995-present,0,0
Orestes,Indonesia,Active,2007,Death Metal,Putrid Politics,2007-2013| 2016-present,0,0
Organ Donor,United States,Split-up,n,Death Metal,Unknown,,0,0
Organic,Italy,Active,2013,Death Metal,Unknown,2013-present,7,816
Organic Infest,Puerto Rico,Changed name,1991,Death Metal,Death| Gore| Anti-Religion| Society,1991-2006| 2006-present (as Organic),0,0
Organic Transcendence,Sweden,Split-up,2010,Death Metal,Unknown,2010-2012,0,0
Orgasm Crazy,Brazil,Split-up,1992,Death Metal,Unknown,1992-?,0,0
Oriax,United States,Split-up,2006,Death Metal,Unknown,2006-?,0,0
Orion Rise,Mexico,Active,2005,Death Metal,Unknown,2005-present,0,109
Orkus,Chile,Active,2002,Death Metal,Unknown,2002-present,0,0
Orlac,Spain,Split-up,1993,Death Metal,Death,1993-2004,0,0
Orloff,United States,Active,n,Death Metal,Horror,,0,0
Ornament of Disgrace,United States,Split-up,2001,Death Metal,Unknown,2001-?,0,0
Oro,Sweden,On hold,2005,Death Metal,Violence,2005-?,0,0
Orochi,France,Active,2003,Death Metal,Unknown,2003-present,0,0
Orphan,Kazakhstan,Split-up,1993,Death Metal,Unknown,1990-1993 (as Пятница 13)| 1993-?,0,0
Ortef,Germany,Active,n,Death Metal,Unknown,,0,0
Orth,Germany,Active,1990,Death Metal,Unknown,?-? (as Syphilis)| 1990-present,0,0
Orthodox,Ukraine,Active,2006,Death Metal,Unknown,2006-2011,0,0
Orthodoxy,Spain,Active,n,Death Metal,Devil worship,,0,0
Orthostat,Brazil,Active,2015,Death Metal,Ancient civilizations,2015-present,0,0
Osamenta,Puerto Rico,Unknown,2000,Death Metal,Death| Gore,2000-?,0,0
Oscuro,United Kingdom,Split-up,1993,Death Metal,Death,?-1993 (as Tenebrae)| 1993-1995,0,0
Osiris Troopz,Indonesia,Active,2010,Death Metal,Unknown,2010-present,0,0
Osmidrosis Torture,Japan,Unknown,n,Death Metal,Unknown,,0,0
Ossarivm,Portugal,Active,2010,Death Metal,Abstract Horror,2010-present,0,0
Osseltion,Italy,Active,2006,Death Metal,Soul| mythology| horror,2006-present,0,0
Ossification,Italy,Split-up,n,Death Metal,Unknown,,0,0
Ossification,United States,Active,2007,Death Metal,Murder| Violence| Hatred,2007-present,0,0
Ossuaire,France,Active,2000,Death Metal,Torture| Gore| Strange sexual practices,2000-present,0,0
Ossuary,Chile,Split-up,1990,Death Metal,Unknown,1990-1997,3,259
Ossuary,Czech Republic,Split-up,1991,Death Metal,Unknown,1991-?,3,259
Ossuary,Lithuania,Split-up,1993,Death Metal,Hate| Dark side of humanity,1993-?,3,259
Ossuary,United States,Split-up,1990,Death Metal,Unknown,1990-?,3,259
Ossuary,United States,Active,n,Death Metal,Unknown,,3,259
Ossuary,Uruguay,Split-up,1992,Death Metal,Unknown,1992-?,3,259
Ossuary Insane,United States,Split-up,1995,Death Metal,Insanity,1991-1995 (as Ossuary)| 1995-?,0,0
Ost Est Ima,Canada,Split-up,2004,Death Metal,Unknown,2004-?,0,0
Otorium,Sweden,Active,n,Death Metal,Unknown,,0,0
Out in the Cold,Belgium,Split-up,1992,Death Metal,Unknown,1992-?,0,0
Out of Darkness,Canada,Split-up,n,Death Metal,Christianity,?-2009,0,0
Out of Memory,Hungary,Active,2004,Death Metal,Unknown,2004-present,0,0
Out of Mind,Sweden,Split-up,n,Death Metal,Unknown,,0,0
Out of Mortality,United States,Active,2007,Death Metal,Hate| Pain| Death| Armageddon,2007-present,0,0
Out of My Flame,Germany,Split-up,2007,Death Metal,Apocalypse| Natural Disasters| Anti-christianity,2007-2011,0,0
Outbreeding,Russia,Split-up,n,Death Metal,Unknown,,0,0
Outcast,Belgium,Active,1997,Death Metal,Unknown,1997-present,0,0
Outrage,Austria,Active,2000,Death Metal,Unknown,2000-present,0,0
Outrage,Turkey,Split-up,1997,Death Metal,Unknown,1997-?,0,0
Outre-Tombe,Canada,Active,2010,Death Metal,Unknown,2010-present,12,3646
Outreign,Greece,Active,2015,Death Metal,Gore| Fear| Dominance| Inner Philosophy,2015-present,0,0
Outsider,Lithuania,Split-up,1990,Death Metal,Unknown,1990-?,0,0
Oventor,Mexico,Changed name,2013,Death Metal,Society,2013-2014| 2014-present (as Sceptical),0,0
Overgarven,Greece,Active,2001,Death Metal,Unknown,2001-present,0,0
Overlord,Poland,Split-up,1992,Death Metal,Unknown,1992-2000| 2010,0,0
Overlord,Sweden,Split-up,1997,Death Metal,Unknown,1997-?,0,0
Overlord Industries,Sweden,On hold,2002,Death Metal,Unknown,2002-present,0,0
Overoth,United Kingdom,Active,2005,Death Metal,Death| Horror,2005-present,1,513
Overseer,United States,Split-up,1993,Death Metal,Misanthropy| War,1993-?,0,0
Overt Hostility,Finland,Unknown,2003,Death Metal,Antichristian| death| gore| violence,2003-?,0,0
Overthrow,Argentina,Split-up,1991,Death Metal,Unknown,1991-?,3,825
Overthrow,Chile,Split-up,1991,Death Metal,Unknown,1991-?,3,825
Overthrust,Botswana,Active,2008,Death Metal,Death| Purgatory| False prophets,2008-present,0,0
Overtorture,Sweden,Active,2011,Death Metal,Unknown,2011-present,2,1207
Overture,United States,Active,1993,Death Metal,Unknown,1993-present,0,0
Ovroboros,Chile,On hold,2011,Death Metal,Chaos-Regeneration| Occultism| Serpent Cult,2011-?,0,0
Oxlahun,Mexico,Split-up,2005,Death Metal,Mayan & Mexican Mythology,2005-?,0,0
P G S K,United States,Active,n,Death Metal,Unknown,,0,0
P.U.S.,Brazil,Split-up,1987,Death Metal,Death| Sex| Society| Political,1987-1997,0,0
P.U.S.,United States,Split-up,1991,Death Metal,Unknown,1991-?,0,0
Pacal,Mexico,Active,1997,Death Metal,Death| Misanthropy,? (as Displeacer Beast)| 1997-present,0,0
Pagan Fears,Colombia,Split-up,1995,Death Metal,Death| Depression,1995-?,0,0
Pagan Spawn,Netherlands,Split-up,1996,Death Metal,Anti-Christianity,1996-?,0,0
Pagan Wind,Italy,Split-up,2008,Death Metal,Unknown,2008-2010,0,0
Paganizer,Sweden,Active,1998,Death Metal,Anti-Christianity| Death| Murder| Gore,1998-present,18,8566
Pages of Prophecy,United States,Active,n,Death Metal,Unknown,,0,0
Pahuuden Prototyyppi,Finland,Active,2002,Death Metal,Darkness| Evil| Lies,2002-present,0,0
Pain Border,Hungary,Split-up,n,Death Metal,Unknown,,0,0
Pain Clinic,United States,Active,2006,Death Metal,Unknown,2006-present,0,0
Pain| Hate & Agony,United States,Split-up,1990,Death Metal,Pain| Hate & Agony,1990-?,0,0
Painless,Brazil,Split-up,n,Death Metal,Unknown,,0,0
Pains Invention,United States,Split-up,1994,Death Metal,Death| Emotions| Repressed Memories,1994-?,0,0
Pakumati,Indonesia,Active,n,Death Metal,Unknown,,0,0
Pale,Germany,Split-up,n,Death Metal,Unknown,,0,0
Pale Existence,United States,On hold,1991,Death Metal,Hate| Rape| Torture| Sluts| Satan| Beer,1991-present,0,0
Pale Oracle,United States,Split-up,n,Death Metal,Unknown,,0,0
Pale Unearthed,United States,Split-up,1991,Death Metal,Unknown,1991-1994,0,0
Pallid Threnody,Norway,Changed name,n,Death Metal,Unknown,?-?| ?-2002 (as Neurosilence),0,0
Pallor Mortis,Canada,Active,2010,Death Metal,History| Tyrants,2010-present,0,0
Panda Killer,Thailand,Unknown,n,Death Metal,Unknown,,0,0
Pandegoreium,Bolivia,Active,2009,Death Metal,Death| Torture| Anti-God| Hate,2009-present,0,0
Pandemia,Czech Republic,Active,1995,Death Metal,Agony| Sins| Devil,1995-present,0,0
Pandemic Genocide,Poland,Active,2003,Death Metal,Death| Satanism,2003-present,0,0
Pandemonium,Argentina,Unknown,n,Death Metal,Death| Gore| Blood| Sickness,,5,814
Pandemonium,Argentina,Unknown,n,Death Metal,Death| Gore| Blood| Sickness,,5,534
Pang of Death,Spain,Split-up,1996,Death Metal,Unknown,1996-?,0,0
Pangea,Germany,Split-up,2000,Death Metal,Death| Anger| Darkness,2000-2011,0,0
Pannon Blood,Hungary,Unknown,2007,Death Metal,Unknown,1993-? (as Cold Reality)| ?-?,0,0
Panopticon Death,Russia,Active,2012,Death Metal,Misanthropy| Dark sides of human personality| Sociopathy,2012-present,0,0
Panoptikon,Netherlands,Active,2006,Death Metal,Death| Violence,2006-present,0,0
Pantheion,Russia,Split-up,2001,Death Metal,Philosophy,2001-2007,0,0
Pantheism,Italy,Split-up,1998,Death Metal,Death| Feelings| Religions,1998-?,0,0
Panzerium,Finland,Active,2005,Death Metal,Death| War,2005-present,0,0
Panzerkreuzer,Germany,Active,2012,Death Metal,October Revolution| War,2012-present,0,0
Panzerskrekk,Norway,On hold,2002,Death Metal,War| Technical data,2002-2005,0,0
Panzram,Germany,Active,2008,Death Metal,Unknown,2008-present,0,0
Papa Necrose,Brazil,Active,2010,Death Metal,Unknown,2010-present,0,0
Paper Doll Decay,Netherlands,Active,2008,Death Metal,Politics| Anti-Religion| Social Issues| Violence,2008-present,0,0
Paradoxxa,Mexico,Split-up,1994,Death Metal,Mythical| Ecological and Social Themes,1994-1997,0,13
Paralisy,Romania,Split-up,1993,Death Metal,Gore| Mutilation,1992-1993 (as Skeleton)| 1993-1994,0,0
Parallax,United States,Unknown,n,Death Metal,Unknown,,0,0
Paranoia,Guatemala,Active,2007,Death Metal,Life| Violence,2007-present,0,0
Paranoid Despire,Indonesia,Active,2010,Death Metal,Unknown,2010 (as Used in Letter)| 2010-present,2,177
Paranoiz,Germany,Split-up,2000,Death Metal,Insanity| Death| Emptiness,2000-2008,0,0
Parasite Crowd,Hungary,Active,1991,Death Metal,Suffering| Killing| Ripping,1991-?| 2013-present,0,0
Parasitized,United Kingdom,Unknown,2009,Death Metal,Anti-theism| Philosophy| Mythology| Literature,2009-?,0,38
Parasitoid,United States,Split-up,2002,Death Metal,Unknown,2002-?,0,0
Paratyfus,Netherlands,Active,2000,Death Metal,Death| Hate,2000-present,0,0
Paraxism,Finland,Split-up,1990,Death Metal,Unknown,1990-1998,0,0
Parazide,Switzerland,Active,2004,Death Metal,Unknown,2004-present,0,0
Parental Advisory,Austria,Active,1997,Death Metal,Horror| Gore| Sex,1997-present,0,0
Pargochy,Indonesia,Active,2013,Death Metal,Social life,2013-present,2,551
Parhelio,Argentina,Active,n,Death Metal,Unknown,2012-present,0,0
Pariah Mary,South Africa,Split-up,n,Death Metal,Unknown,,0,0
Parousia,United States,Split-up,n,Death Metal,Christianity,,0,0
Paroxysm,Canada,Active,1996,Death Metal,Depression| Philosophy| Abstract,1996-present,0,0
Paroxysm,Turkey,Active,1998,Death Metal,Unknown,1998-present,0,0
Parricide,Czech Republic,Split-up,1992,Death Metal,Philosophical Views of Life,1992-?,3,559
Parricide,Germany,Split-up,1989,Death Metal,Unknown,1989-1991,3,559
Parricide,Germany,Changed name,n,Death Metal,Unknown,?-?| 1997-present (as Parryzide),3,559
Parricide,United Kingdom,Split-up,1994,Death Metal,Disease| Anti-religion| Death| Mental illness,1994-?,3,559
Part of the Prime,Sweden,Active,n,Death Metal,Unknown,,0,0
Parusie,Switzerland,Split-up,1990,Death Metal,Unknown,1990-?,0,0
Past Redemption,Bulgaria,Active,1992,Death Metal,Unknown,1992-present,0,0
Path of Devastation,Germany,Split-up,2006,Death Metal,Life| Society,2006-2013,0,0
Path of Pariah,Australia,Split-up,2008,Death Metal,Life| Loss| Personal Struggles,2008-2011,0,0
Pathalog,Sweden,Split-up,1991,Death Metal,Gore,1991-1995,0,0
Pathogen,Philippines,Active,2001,Death Metal,Apocalypse| Disease,2001-present,0,0
Pathogen,United Kingdom,Active,2002,Death Metal,Unknown,2001-2003| 2002-2004,0,0
Pathologist Department,Belarus,Split-up,n,Death Metal,Blood| Gore| Death,,0,0
Pathology,Netherlands,Split-up,1990,Death Metal,Death| Gore,?-? (as Actified)| 1990-1994| 2013-2014,33,26078
Pathology Stench,Slovakia,Active,1992,Death Metal,Death| Politics,1992-present,0,0
Patógeno,Chile,Active,2008,Death Metal,Human degradation| Altered mental status| Destruction,2008-present,0,0
Pavor Nocturnus,Hungary,Split-up,2003,Death Metal,Personal Feelings| Nature,? (as Haven)| 2003-?,0,0
Pax Mortis,United States,Split-up,1991,Death Metal,Political| Social| Animal Rights,1991-?,0,0
Pazuzu,Sweden,Unknown,n,Death Metal,Unknown,,0,0
Peacemaker,Brazil,Split-up,1995,Death Metal,Christianity,1995-1998,0,0
Pedih,Indonesia,Active,1999,Death Metal,Pain| Torture| Devil,1999-present,0,0
Pedophile Priests,Ireland,Active,2014,Death Metal,Unknown,2014-present,0,114
Pek,Belgium,Active,2004,Death Metal,Anti-Christianity| Devil Worship,2004-present,0,55
Penalty,United States,Split-up,n,Death Metal,Unknown,,0,0
Pendragon,Austria,Split-up,1996,Death Metal,Unknown,1996-1998,0,0
Penitence,Spain,Split-up,1990,Death Metal,Unknown,1990-?,0,0
Penjelma,Indonesia,On hold,2007,Death Metal,Satanism| Occultism| Ancient myths| Politics| Hatred,2007-2010,0,0
Pentacle,Netherlands,Active,1989,Death Metal,Occultism| Warfare| Death,1989-present,3,1085
Penthos,United Kingdom,Active,2010,Death Metal,Misanthropy| Nihilism| Life| Death,2010-present,0,0
Pentothal Sodium,Italy,Active,2008,Death Metal,Society| Humanity,2008-present,0,0
Perambulator,Netherlands,Split-up,1988,Death Metal,Death| Madness,1988-?,0,0
Percussor,United States,Active,1996,Death Metal,Unknown,1996-1998| 2014-present,0,0
Perdition,Mexico,Split-up,1990,Death Metal,Faith| Afterlife| Reincarnation Rituals,1990-?,0,329
Perdition,Spain,Split-up,2002,Death Metal,Darkness| Death| Evil,2002-?,0,329
Perdition,United States,Split-up,n,Death Metal,Unknown,?-1993,0,329
Perfidious,Italy,Active,2014,Death Metal,Anti-Christianity| Death,2014-present,0,0
Perfidy Biblical,Italy,Active,1998,Death Metal,Occultism| Satanism| Anti-Religion| Death| Ancient Ones| Blasphemy,1998-present,0,0
Pergolos,Sweden,Active,2002,Death Metal,Unknown,2002-present,0,0
Perihelion,United States,Split-up,2009,Death Metal,Apocalyptic| Disease,2009-2011,0,0
Period of Silence,Germany,Split-up,n,Death Metal,Unknown,,0,0
Perish,Germany,Split-up,n,Death Metal,Unknown,,0,0
Perished,Austria,Changed name,1997,Death Metal,Unknown,1997-2004| 2004-present (as Discipline-M),0,0
Permafrost,Russia,Active,1997,Death Metal,Social| Politics| Apocalypse,1997-present,0,0
Pernicious,Netherlands,Split-up,1994,Death Metal,Killing| Darkness,1994-?,0,0
Perpetual,Spain,Active,2006,Death Metal,Unknown,2006-present,0,0
Perpetual Die,Mexico,Active,n,Death Metal,Unknown,,0,0
Perpetual Doom,United States,Unknown,1992,Death Metal,Sorrow| Darkness| Death| Pain| Fear,1992-?,0,0
Perpetual Hate,Norway,Unknown,2003,Death Metal,Hate| Gore| Death| Anti-religion,2003-?,0,0
Perpetual Holocaust,Chile,Active,2014,Death Metal,Blasphemy| Satanism| Annihilation| Death,2014-present,0,0
Persecution,Australia,Split-up,1989,Death Metal,Political| Social,1989-?,0,0
Persecution,United States,Split-up,1994,Death Metal,Demons,1994-?,0,0
Persephone Descending,United States,Split-up,1999,Death Metal,Unknown,1999-?,0,0
Persuaded,Turkey,Active,2007,Death Metal,Politics,2007-present,0,0
Perturbacion,Honduras,Active,2010,Death Metal,Social| religion| politic| terror,2010-present,0,0
Perun,Poland,Changed name,2011,Death Metal,Pride| Paganism| Loyalty,2011-2012| 2012-present (as Thunderwar),0,0
Perversion,Poland,Split-up,1991,Death Metal,Gloom| Hate,1991-1999| 2006-?,0,0
Perversity Terror,Chile,Split-up,1989,Death Metal,Unknown,1989-?,0,0
Pervertum Obscurum,Australia,Active,2004,Death Metal,Unknown,2004-present,0,0
Perverze,Chile,Split-up,2000,Death Metal,Occultism| Malefice| Darkness,2000-?,0,0
Pessimus,Lithuania,Split-up,1990,Death Metal,Chaos Paranoia,1990-1993 (as Furija)| 1993-1994,0,0
Pessimyst,United States,Split-up,1990,Death Metal,Unknown,1990-?,0,0
Pester the Pure,Greece,Active,2013,Death Metal,Discordianism| Denial| Khaos Magick,2013-present,0,0
Pesticides,Germany,Split-up,2007,Death Metal,Christianity,2003-2007 (as Cured Leper)| 2007-2012,0,0
Pestifer,Portugal,Active,2000,Death Metal,Satanism| Death,2000-present,2,1015
Pestifer,Portugal,Active,2000,Death Metal,Satanism| Death,2000-present,0,98
Pestigore,Finland,Active,1990,Death Metal,Unknown,1990-1991 (as Rotten Bowel)| 1991-1993| 2015-present,0,0
Pestilencia,Guatemala,Active,2012,Death Metal,Violence,2012-present,0,0
Pestilent 666,United States,Active,n,Death Metal,Unknown,2015-2016 (as Pestilent)| 2016| 2016-present (as Pestilent Age),0,0
Pestilent Angel,Poland,Split-up,1992,Death Metal,Death| War| Inner Thoughts| Fantasy,1992-?,0,0
Pestilent Reign,Germany,Active,2013,Death Metal,Unknown,2013-present,13,828
Pestilência,Brazil,Active,2000,Death Metal,Unknown,1997-present,0,0
Pestuary,United States,Active,2014,Death Metal,Gore| Necrophilia| Perversion| Dark Humor,2014-present,0,0
Phaeton,Poland,Active,2000,Death Metal,Unknown,2000-present,0,0
Phantasm,United States,Split-up,1988,Death Metal,Torture| Sickness| Death| Horror,1988-1995,0,0
Phantom Limb,United States,Split-up,n,Death Metal,Unknown,,0,0
Phantom Pain,Israel,Active,2004,Death Metal,Unknown,2004-present,0,0
Pheretrum,Uruguay,Active,2009,Death Metal,Destruction| Violence,2009-present,0,0
Philosopher,Czech Republic,On hold,2002,Death Metal,Philosophy| life| death,2002-?,0,0
Philosopher,Germany,On hold,2001,Death Metal,Themes from H.P. Lovecraft,2001-?,0,0
Phlegm,Belgium,Split-up,n,Death Metal,Unknown,,0,0
Phlegm,United States,Split-up,1988,Death Metal,Gore Themes| Zombies| Tortures,1988-1994,0,0
Phobia,Norway,Split-up,1990,Death Metal,Unknown,1990-1991,0,0
Phobia,Poland,Split-up,1996,Death Metal,Unknown,1994-1997,0,0
Phobia,Ukraine,Active,2005,Death Metal,Unknown,2005-present,0,0
Phobic,Italy,Active,1997,Death Metal,Anti-clerical,1997-2002| 2003-2014| 2016-present,0,0
Phobocosm,Canada,Active,2008,Death Metal,Unknown,2008-present,2,1564
Phobos,Poland,Split-up,2002,Death Metal,Unknown,2002-2003,0,0
Phobos,Sweden,Split-up,1997,Death Metal,Oppression| Misery,?-? (as Last Rites)| 1997-?,0,0
Phobos Incantation,France,Split-up,2003,Death Metal,War| Destruction| Hatred,2003-?,0,0
Phoeticide,Spain,Split-up,n,Death Metal,Life| Destiny| Doom,,0,0
Phosgene,Germany,Active,2006,Death Metal,Unknown,2006-present,0,0
Phrenelith,Denmark,Active,2013,Death Metal,Unknown,2013-present,19,2087
Phrenetic,Denmark,Split-up,n,Death Metal,Unknown,,0,0
PHSY,Croatia,Changed name,2006,Death Metal,Unknown,2006-2007| 2007-present (as Duskburn),0,0
Phthisis,Spain,Split-up,1989,Death Metal,Unknown,1989-1994,0,0
Phthisis,United States,On hold,2009,Death Metal,Unknown,2009-2013,0,0
Piekielne Wrota,Poland,Split-up,1985,Death Metal,Unknown,1985-?,0,0
Pigflesh,United States,Split-up,2003,Death Metal,Hatred| Misanthropy| Violence,2003-?,0,0
Pigs Blood,United States,Active,n,Death Metal,Unknown,,0,0
Pile of Corpses,Brazil,Active,2001,Death Metal,Death| Sex| Violence| War,2001-present,0,0
Pinworm Infection,Philippines,Active,2015,Death Metal,Unknown,2015-present,0,0
Piranha,Austria,Split-up,n,Death Metal,Unknown,?-1997| ?-?,0,0
Pirokinesis,Colombia,Split-up,1987,Death Metal,Death| Violence| Evil,1988-1990,0,0
Pisakas,India,Active,2009,Death Metal,Social Atrocities| Gore| Filth| Obscenity| Violence| Anti-Religion,2009-present,0,0
Pissgrave,United States,Active,n,Death Metal,Unknown,,19,11394
Pithon,Ecuador,Active,1997,Death Metal,Demons| Darkness (early)| Gore| Aberrations (later),1997-present,0,0
Placenta,United States,Split-up,n,Death Metal,Unknown,,8,1588
Plague,Australia,Active,1995,Death Metal,Hate| Violence| Satan,1995-present,5,1874
Plague,Greece,Active,2011,Death Metal,Life,2011-present,5,1874
Plague,United Kingdom,Split-up,n,Death Metal,Misery,,5,1874
Plague Angel,Germany,Active,2007,Death Metal,Transhumanism| Human Life| Evolution,2007-2014,0,156
Plague Angel,Sweden,Active,2005,Death Metal,Violence| Hate| Anger| Anti-religion,2005-present,0,156
Plague Bearer,United Kingdom,Split-up,2001,Death Metal,Plague| Disease| Horror,2001,0,0
Plague Divine,Sweden,Split-up,1998,Death Metal,Horror| Sickness| Torture,1998-2007,0,0
Plague Inside,Brazil,Active,2012,Death Metal,Spiritual and religious insanity,2012-present,0,0
Plague Lust,United States,Active,2013,Death Metal,Horror| Death| Exhumation| Sex,2013-present,0,0
Plague Majestic,Sweden,Changed name,2006,Death Metal,Unknown,2006-2007| 2007-present (as Deadpulse),0,0
Plague of Man,Australia,Active,2004,Death Metal,Society Issues| Death,2004-present,0,0
Plague of Sickness,Australia,Active,n,Death Metal,Unknown,,0,0
Plague of the Fallen,New Zealand,Active,n,Death Metal,Unknown,,0,0
Plague Phalanx,United States,Active,n,Death Metal,Misanthropy| War| Hatred,,0,0
Plague Ridden,United Kingdom,Split-up,2003,Death Metal,Horror| Gore| Sickness| Brutallity,2003-?,0,0
Plague Throat,India,Split-up,2006,Death Metal,Death| Life| Social Issues,2006-2016,0,0
Plague.,Canada,Split-up,1998,Death Metal,Unknown,1998-?,0,0
Plagues of Rhyzyktus,United States,Active,2008,Death Metal,Anti-Christianity| Hate| Genocide,2008-present,0,0
Planta Cadaver,Colombia,Active,1994,Death Metal,Pain| Death| Misery,1994-present,0,0
Platonic Disease,United States,Split-up,2000,Death Metal,Gore| Satan| Blasphemy,2000-?,0,0
Pleasant Valley,United States,Split-up,2005,Death Metal,Death| Life,2005-2007,0,0
Pleurisy,Netherlands,Split-up,1990,Death Metal,Hatred| Nihilism| Occult,1989-1990 (as Crypo)| 1990-2008,0,0
Pleuritic,Finland,Split-up,1991,Death Metal,Unknown,1991-?,0,0
Pleyades,Mexico,Active,2003,Death Metal,Christianity,2003-present,0,0
Plutonium Desaster,Germany,Split-up,1992,Death Metal,Death,1992-1994,0,0
Pluverigore,Indonesia,Active,2010,Death Metal,Murder| Social Critique,2010-present,0,0
Poem's Death,Brazil,Active,1998,Death Metal,Unknown,1998-2009| 2014-present,0,0
Pogrom,Argentina,Active,1991,Death Metal,Satanism| Death| Pain,1991-1998| 2009-present,0,0
Pogrom,Greece,Split-up,n,Death Metal,Unknown,,0,0
Point Blank Rage,Canada,Active,2006,Death Metal,Unknown,2006-present,0,0
Point of Death,Iran,Active,2002,Death Metal,Unknown,2002-present,0,0
Poisonous,Brazil,Active,2009,Death Metal,Anti-Christianity,2001-2009 (as Impetuous Rage)| 2009-present,0,121
Pollution,Italy,Active,1994,Death Metal,Darkness| Anti-Religion,1991-1994 (as Pollution Mass)| 1994-1995| 2008-present,0,0
Pollution Mass,Italy,Changed name,1990,Death Metal,Unknown,1990-1994| 1994-1995 (as Pollution)| 2008-present (as Pollution),0,0
Polonium,United States,Split-up,n,Death Metal,Unknown,,0,0
Polterchrist,United States,Active,1999,Death Metal,Unknown,1995-1999 (as Ethereal)| 1999-present,0,0
Poltergeist,Sweden,Active,2013,Death Metal,Death| Darkness,2013-present,0,0
Polymorph,Germany,Active,1995,Death Metal,Unknown,1995-present,0,0
Polymorphia,Mexico,Unknown,n,Death Metal,Unknown,? (as Sarcophilus)| ?,0,0
Pope Death Threat,Germany,Split-up,1992,Death Metal,Unknown,1992-1996,0,0
Population: 0,United States,Active,2010,Death Metal,Corruption| Daily life,2010-present,0,0
Porkfarm,United Kingdom,Active,2006,Death Metal,Gore,2006-present,0,0
Porno,Canada,Split-up,1994,Death Metal,Unknown,1994-?,0,0
Porphyria,United States,Active,n,Death Metal,Unknown,,0,0
Porphyria,United States,On hold,1988,Death Metal,Ritualistic,1988-1993,0,0
Porta Daemonium,Chile,Active,2011,Death Metal,Unknown,1998-? (as Porta Salomoniis)| 2011-present,0,0
Porto Pak,France,Split-up,1991,Death Metal,Unknown,1991-?,0,0
Posession,Spain,Active,1997,Death Metal,Violence,1997-present,0,51
Poseído,Costa Rica,Split-up,1996,Death Metal,Anti-Christian,1996-?,0,0
Posidom,Portugal,Active,2003,Death Metal,Death| Hate| Murder,1996-2003 (as Lost)| 2003-present,0,0
PosMortiis,Portugal,Active,2010,Death Metal,Anti-Religion| Violence,2010-present,0,0
Possession,Austria,Split-up,2001,Death Metal,Unknown,2001-?,4,1078
Post Mortal Possession,United States,Active,2013,Death Metal,Unknown,2013-present,0,0
Post Scriptum,Bulgaria,Split-up,2000,Death Metal,Social Issues,2000-?,3,327
Post Trevor,Brazil,Active,1992,Death Metal,Death| Underground Scene (early)| Christianity,1992-1996| 2003-present,0,0
Post-War Perdition,Germany,Active,2009,Death Metal,Society| Personal Life,2009-present,0,0
Posterity,Lithuania,Split-up,2007,Death Metal,Unknown,2007-2013,0,0
Postmortem,Brazil,Active,2004,Death Metal,Death,2004-present,7,1381
Postmortem,Costa Rica,Active,2000,Death Metal,Pain| Sorrow,2000-present,7,1381
Postmortem Disembowelment,United States,Unknown,2006,Death Metal,Gore,2006-?,0,0
Postmortem Resurrection,United States,Active,2008,Death Metal,Unknown,2008-present,0,0
